word,meaning
가가호호,한 집 한 집.
가감승제,"더하기, 빼기, 곱하기, 나누기의 계산."
가계부,집안 살림의 수입과 지출을 기록하는 책.
가계비,한 집안이 살아가는 데 드는 비용.
가계약,임시로 하는 계약.
가곡집,가곡을 모아 놓은 책이나 음반.
가공법,식품이나 물품 등을 가공하는 방법.
가공식품,저장과 조리가 편리하도록 원료를 특별한 방법으로 가공하여 새롭게 만든 먹을거리.
가공업,기술이나 힘 등을 이용해 원료나 재료를 새로운 제품으로 만드는 공업.
가공인물,"실제로는 존재하지 않는, 상상으로 만들어 낸 인물."
가공적,사실이 아닌 것을 거짓이나 상상으로 만들어 낸 것.
가구재,가구를 만드는 재료.
가구점,가구를 파는 가게.
가극단,가극을 전문으로 공연하는 단체.
가급적,할 수 있거나 가능한 것.
가까이,어떠한 기준에 거의 다다를 정도.
가난뱅이,(낮잡아 이르는 말로) 가난한 사람.
가는귀,작은 소리까지 잘 듣는 귀.
가능성,어떤 일이 앞으로 이루어질 수 있는 성질.
가능성,앞으로 성장할 수 있는 성질.
가독성,책이나 인쇄물 등이 쉽게 읽히는 정도.
가동률,기계가 움직여 일할 수 있는 최대 시간과 실제로 움직여 일한 시간의 비율.
가드레일,차가 찻길에서 벗어나는 것을 막기 위해 찻길의 양쪽 끝이나 중앙에 설치한 물건.
가라오케,노래 없이 반주만 녹음된 기계.
가락국수,면발이 굵은 국수.
가락지,꾸미기 위해 손가락에 끼는 두 개의 반지.
가로대,가로질러 놓인 막대기.
가로대,두 공간 사이나 한 공간의 가장자리를 막기 위해 세우는 구조물.
가로등,어둠을 밝히기 위하여 길에 설치한 등.
가로무늬,가로로 나 있는 무늬.
가로쓰기,글씨를 가로로 쓰는 방식.
가로축,좌표 평면에서 가로로 놓인 축.
가로획,글자에서 가로로 긋는 획.
가루약,가루로 된 약.
가르마,이마에서 머리 뒤쪽으로 머리카락을 양쪽으로 갈랐을 때 생기는 금.
가르침,모르는 것을 알려 주어 깨닫게 함. 또는 그런 내용.
가리개,어떤 공간을 가리기 위해 세우는 가구.
가맹점,고객에게 특정한 서비스를 제공하기 위해 어느 조직에 가입한 가게.
가무단,노래와 춤 등을 공연하는 단체.
가물치,몸이 둥글고 길며 등에 검푸른 무늬가 있는 민물고기.
가변성,일정한 조건이나 상황에서 변하는 성질.
가산율,더해지는 비율.
가산점,특별한 이유로 더 더해지는 점수.
가상도,어떤 일의 상황을 가정하고 상상하여 그린 그림.
가석방,형벌의 집행 기간이 끝나지 않은 죄수를 어떤 조건 아래 미리 풀어 줌.
가속기,"전자, 양성자, 알파 입자 등을 가속하여 이들 입자의 운동 에너지를 크게 하는 장치."
가속도,시간이 갈수록 점점 빨라지는 속도.
가속화,속도가 더욱 빨라지게 됨.
가솔린,"석유에서 뽑아낸, 자동차나 비행기 등의 연료로 쓰이는 액체."
가스레인지,가스를 연료로 이용해서 음식물을 데우거나 익히는 데 사용하는 조리 기구.
가스실,유독 가스를 넣어 사람을 죽이는 방.
가스실,"군대에서, 가스전에 대비하기 위해 최루 가스를 넣고 방독면을 쓰고 훈련하는 방."
가스통,가스를 저장하는 통.
가시권,눈으로 볼 수 있는 범위.
가시덤불,어수선하게 엉클어진 가시로 이루어진 나무나 풀.
가시방석,(비유적으로) 앉아 있기가 몹시 거북하고 불안한 자리.
가시밭길,가시덤불이 많이 자라서 무성한 길.
가시밭길,(비유적으로) 괴로움과 어려움이 심한 과정이나 경로.
가시적,눈으로 볼 수 있거나 눈에 보이는 것.
가십거리,사람들 사이에서 가벼운 화제가 될 만한 일이나 사건.
가야금,열두 줄의 현을 손가락으로 뜯어 소리를 내는 한국의 전통 현악기 중 하나.
가연성,불에 잘 탈 수 있거나 타기 쉬운 성질.
가오리,몸이 넓적한 마름모꼴이고 꼬리가 가늘고 긴 바닷물고기.
가욋돈,일정한 기준이나 한도에 더해진 돈.
가요계,가요를 만들거나 부르는 사람들의 활동 분야.
가요제,여러 사람이 가요를 불러 실력을 겨루는 대회.
가운데,양쪽의 사이.
가운데,여럿으로 이루어진 일정한 범위의 안.
가운뎃점,나열할 낱말들이 대등하거나 일정한 기준으로 묶일 때와 특정한 날의 월이나 일을 나타내는 숫자에 쓰는 문장 부호.
가위바위보,서로 손을 내밀어 그 손 모양으로 순위나 승부 등을 정하는 방법.
가위질,가위로 자르거나 오리는 일.
가위질,(비유적으로) 언론 기사나 영화 작품 등을 검열하여 그 일부분을 삭제하는 일.
가위표,틀린 것을 나타내기 위해 쓰는 가위 모양의 표시.
가을날,가을의 하루. 또는 가을철의 날씨.
가을볕,가을철에 내리쬐는 햇볕.
가을보리,가을에 씨를 뿌려 이듬해 초여름에 거두는 보리.
가을비,가을에 내리는 비.
가이드라인,어떤 일이나 정책 또는 언론보도에 대한 기준이 되는 지침.
가이드북,여행이나 관광 정보 등을 담은 안내 책자.
가이드북,학습이나 상품의 정보를 소개하는 책.
가입국,국제적 조직이나 단체에 들어간 나라.
가입비,단체에 들어갈 때나 상품 및 서비스를 받기 위해 계약을 할 때 내는 돈.
가입서,단체에 들어갈 때나 상품 및 서비스를 받기 위해 계약을 할 때 작성하는 서류.
가입자,단체나 조직에 들어가거나 상품 및 서비스 계약을 한 사람.
가자미,몸이 납작하고 타원형이며 두 눈이 모두 오른쪽에 모여 있는 바닷물고기.
가장자리,어떤 것의 둘레나 끝이 되는 부분.
가장행렬,운동회나 축제 등에서 여러 사람이 갖가지 모습으로 꾸미고 줄지어 가는 일. 또는 그 행렬.
가재도구,가정 생활에 필요한 여러 가지 물건.
가전제품,가정에서 사용하는 전기 기구.
가정법,말하는 내용이 가정이나 바람임을 문법적으로 나타내는 문장 표현법.
가정생활,가정을 이루어 그 안에서 사는 생활.
가정식,보통의 가정에서 평소 즐겨 먹는 음식.
가정용품,가정에서 사용하는 여러 가지 물품.
가정의례,"가족의 출생, 결혼, 죽음 등과 관련해서 가정에서 치르는 의식."
가정일,"가정생활에 필요한 빨래, 요리, 청소 등의 일."
가정일,가족 또는 친척에게 생긴 일이나 행사.
가정적,집이나 가족과 관계된 것. 또는 그것과 같은 것.
